Local_ID,Node_ID,OSM_ID,Longitude,Latitude,Degree,Node_Type,Neighbor_Count,lighting,elevation,greenery,crime,Connected_Local_IDs,Connected_Node_IDs
42,26448849,26448849,-3.538697,50.718332,6,6-way Junction,3,0.03,0,0.31,0.89,"943, 993, 405","420555282, 639654132, 149521149"
43,28371973,28371973,-3.522851,50.716468,6,6-way Junction,3,0.91,0.3,0.57,0.49,"151, 159, 1330","40923289, 41412456, 12154311401"
44,30792303,30792303,-3.541381,50.732525,6,6-way Junction,3,0.26,0.65,0.18,0.77,"598, 665, 917","255623670, 261639089, 343064610"
45,30792307,30792307,-3.535913,50.727577,4,4-way Junction,2,0.66,0.97,0.44,0.42,"1267, 305","4872970394, 59995470"
46,33140979,33140979,-3.548253,50.717391,5,5-way Junction,3,0.31,0.85,1,0.64,"691, 693, 976","263717394, 263717402, 498427244"
47,33141002,33141002,-3.548646,50.719057,6,6-way Junction,3,0.52,0.02,0.21,0,"782, 726, 686","272851457, 265353395, 263717345"
48,33141005,33141005,-3.549112,50.720693,8,Complex,4,0.55,0.9,0.7,0.67,"780, 578, 727, 816","272851404, 253910878, 265353398, 279800665"
49,33141013,33141013,-3.548753,50.722352,6,6-way Junction,3,0.18,0.78,0.35,0,"804, 819, 816","279797944, 279800668, 279800665"
50,33141017,33141017,-3.549236,50.724055,6,6-way Junction,3,0.97,0.78,0.8,0.67,"965, 672, 819","472389931, 262900195, 279800668"
51,33141023,33141023,-3.549001,50.726314,6,6-way Junction,3,0.78,0.46,0.13,0.86,"1234, 501, 572","3735984176, 208631421, 248583636"
52,34699806,34699806,-3.522498,50.727237,6,6-way Junction,3,0.94,0.4,0.96,0.06,"70, 971, 912","34918740, 497694168, 324160576"
53,34699810,34699810,-3.523808,50.72641,4,4-way Junction,2,0.89,0.3,0.43,0.03,"970, 912","497693979, 324160576"
54,34702928,34702928,-3.525319,50.725273,4,4-way Junction,2,0.6,0.07,0.19,0.65,"54, 882","34702928, 292915464"
55,34917396,34917396,-3.522194,50.72093,4,4-way Junction,2,0.92,0.23,0.05,0.11,"63, 1323","34918328, 10936838802"
56,34917448,34917448,-3.520834,50.724685,6,6-way Junction,3,0.09,0.25,0.14,0.84,"253, 940, 419","59741722, 392680940, 174022412"
57,34917754,34917754,-3.523139,50.724373,6,6-way Junction,3,0.2,0.48,0.52,0.02,"873, 58, 1067","292262259, 34917773, 1513242045"
58,34917773,34917773,-3.523662,50.722788,6,6-way Junction,3,0.05,0.75,0.36,0.09,"57, 61, 128","34917754, 34918237, 36671688"
59,34918049,34918049,-3.524273,50.720969,6,6-way Junction,3,0.33,0.47,0.83,0.85,"94, 225, 127","36664788, 41450012, 36671524"
60,34918120,34918120,-3.529053,50.720008,3,3-way Junction,2,0.39,0.06,0.39,0.57,"1052, 125","1446477357, 36671054"
61,34918237,34918237,-3.522672,50.722831,6,6-way Junction,3,0.27,0.96,0.29,0.78,"916, 68, 58","332087879, 34918493, 34917773"
62,34918245,34918245,-3.521215,50.724021,5,5-way Junction,3,0.83,0.94,0.66,0.14,"916, 1305, 56","332087879, 8618824815, 34917448"
63,34918328,34918328,-3.522169,50.72167,6,6-way Junction,3,0.36,0.79,0.74,0.55,"68, 55, 64","34918493, 34917396, 34918331"
64,34918331,34918331,-3.520729,50.721756,5,5-way Junction,2,0.28,0.99,0.22,0.54,"63, 66","34918328, 34918457"
65,34918335,34918335,-3.519504,50.721334,5,5-way Junction,3,0.54,0.54,0.17,0.5,"98, 64, 99","36664811, 34918331, 36665006"
66,34918457,34918457,-3.519224,50.723393,6,6-way Junction,3,0.14,0.96,0.08,0.66,"67, 64, 1305","34918461, 34918331, 8618824815"
67,34918461,34918461,-3.518754,50.724103,6,6-way Junction,3,0.8,0.08,0.69,0.38,"66, 253, 97","34918457, 59741722, 36664805"
68,34918493,34918493,-3.521803,50.722838,6,6-way Junction,3,0.07,0.37,0.65,0.35,"1305, 63, 61","8618824815, 34918328, 34918237"
69,34918675,34918675,-3.521822,50.726817,6,6-way Junction,3,0.99,0.23,0.45,0.08,"70, 335, 1108","34918740, 62154868, 1787913959"
70,34918740,34918740,-3.522237,50.727063,5,5-way Junction,2,0.77,0.2,0.81,0.57,"69, 52","34918675, 34699806"
71,34918950,34918950,-3.53784,50.719139,4,4-way Junction,2,0.2,0.14,0.77,0.12,"1212, 1213","3088168100, 3088168104"
72,34918951,34918951,-3.53844,50.719333,4,4-way Junction,2,0.01,0.62,0.6,0.63,"1211, 374","3088168096, 90484506"
73,34918955,34918955,-3.538887,50.721125,6,6-way Junction,3,0.82,0.78,0.9,0.02,"374, 84, 1293","90484506, 34919917, 6847525807"
74,34918969,34918969,-3.542304,50.72914,5,5-way Junction,3,0.71,0.58,0.21,0.5,"133, 1280, 1081","36672398, 5782077268, 1615698538"
75,34919142,34919142,-3.541257,50.728804,2,Through,1,0.73,0.15,0.08,0.63,1081,1615698538
76,34919225,34919225,-3.533543,50.725827,6,6-way Junction,3,0.77,0.81,0.3,0.08,"1292, 92, 300","6837504774, 34920972, 59995264"
77,34919266,34919266,-3.529219,50.727197,5,5-way Junction,3,0.07,0.64,0.07,0.04,"308, 122, 1282","59996025, 36670781, 5782098934"
78,34919822,34919822,-3.535815,50.727012,7,Complex,3,0.36,0.39,0.52,0.02,"1198, 79, 822","3054463037, 34919823, 280513125"
79,34919823,34919823,-3.535179,50.72653,6,6-way Junction,3,0.12,0.67,0.95,0.49,"823, 80, 78","280514931, 34919824, 34919822"
80,34919824,34919824,-3.535447,50.726298,2,Through,1,0.86,0.26,0.02,0.72,79,34919823
81,34919825,34919825,-3.5361,50.726182,2,Through,1,0.62,0.35,0.11,0,82,34919828
82,34919828,34919828,-3.537448,50.725298,6,6-way Junction,3,0.33,0.92,0.49,0.64,"398, 208, 81","106201170, 41433507, 34919825"
83,34919887,34919887,-3.538068,50.725757,5,5-way Junction,2,0.06,0.29,0.91,0.24,"920, 398","344315943, 106201170"
84,34919917,34919917,-3.53899,50.722054,6,6-way Junction,3,0.31,0.47,0.31,0.4,"73, 1069, 85","34918955, 1615698349, 34919929"
85,34919929,34919929,-3.538566,50.722135,6,6-way Junction,3,0.33,0.89,0.55,0.83,"1057, 84, 1149","1446550845, 34919917, 2109650387"
86,34919992,34919992,-3.53641,50.72465,5,5-way Junction,2,0.73,0.71,0.06,0.22,"208, 397","41433507, 106201167"
87,34920011,34920011,-3.53352,50.721836,4,4-way Junction,2,0.64,0.06,0.1,0.35,"88, 372","34920012, 90475710"
88,34920012,34920012,-3.533831,50.722127,4,4-way Junction,2,0.89,0.15,0.95,0,"190, 189","41427571, 41427529"
89,34920014,34920014,-3.535692,50.72287,4,4-way Junction,2,0.47,0.01,0.92,0,"892, 210","299463587, 41434676"
90,34920915,34920915,-3.536653,50.720805,6,6-way Junction,3,0.12,0.63,0.02,0.24,"371, 1058, 206","90471260, 1446550850, 41431210"
91,34920940,34920940,-3.538771,50.729567,7,Complex,4,0.71,0.45,0.95,0,"271, 305, 968, 307","59817376, 59995470, 496072821, 59995945"
92,34920972,34920972,-3.532989,50.725411,5,5-way Junction,3,0.76,0.13,0.6,0.45,"886, 76, 250","293147522, 34919225, 54212837"
93,34920980,34920980,-3.528617,50.726326,2,Through,1,0.56,0.96,0.91,0.26,216,41437537
94,36664788,36664788,-3.523626,50.72072,6,6-way Junction,3,0.77,0.53,0.46,0.39,"244, 59, 1323","54178254, 34918049, 10936838802"
95,36664794,36664794,-3.511924,50.721705,6,6-way Junction,3,0.49,0.24,0.49,0.05,"1297, 413, 1086","7635829229, 151026184, 1625285083"
96,36664795,36664795,-3.510074,50.72177,6,6-way Junction,3,0.52,0.5,0.49,0.17,"914, 118, 247","332084767, 36667561, 54182647"
97,36664805,36664805,-3.517619,50.723838,6,6-way Junction,3,0.43,0.68,0.68,0.53,"99, 67, 33","36665006, 34918461, 21761689"
98,36664811,36664811,-3.519583,50.721111,7,Complex,4,0.03,0.08,0.1,0.95,"858, 422, 65, 1014","288329984, 175245410, 34918335, 748220686"
99,36665006,36665006,-3.518682,50.722445,5,5-way Junction,2,0.11,0.27,0.01,0.03,"65, 97","34918335, 36664805"
100,36665139,36665139,-3.517735,50.721112,6,6-way Junction,3,0.03,0.81,0.34,0.85,"102, 101, 1291","36665275, 36665154, 6378500824"
101,36665154,36665154,-3.518422,50.72113,6,6-way Junction,3,0.64,0.46,0.7,0.41,"100, 1328, 422","36665139, 12058112849, 175245410"
102,36665275,36665275,-3.517172,50.721119,6,6-way Junction,3,0.31,0.55,0.21,0.5,"100, 103, 951","36665139, 36665279, 451848652"
103,36665279,36665279,-3.517987,50.719186,6,6-way Junction,3,0.51,0.43,0.67,0.36,"106, 104, 102","36665362, 36665283, 36665275"
104,36665283,36665283,-3.518449,50.71839,6,6-way Junction,3,0.91,0.04,0.92,0,"103, 1023, 890","36665279, 906738512, 299456668"
105,36665348,36665348,-3.522397,50.717726,6,6-way Junction,3,0.25,0.17,0.06,0.04,"158, 115, 151","41412305, 36667222, 40923289"
106,36665362,36665362,-3.51826,50.719325,2,Through,1,0.41,0.45,0.67,0.47,103,36665279
107,36665491,36665491,-3.514977,50.719649,6,6-way Junction,3,0.76,0.21,0.41,0.18,"112, 1085, 108","36666015, 1625285055, 36665553"
108,36665553,36665553,-3.516185,50.718943,6,6-way Junction,3,0.23,0.05,0.82,0.8,"109, 107, 1005","36665556, 36665491, 702202457"
109,36665556,36665556,-3.51563,50.718732,2,Through,1,0.08,0.84,0.21,0.38,108,36665553
110,36665819,36665819,-3.514392,50.720843,2,Through,1,0.29,0.98,0.74,0.03,112,36666015
111,36666013,36666013,-3.515647,50.720426,2,Through,1,0.16,0.79,0.87,0.61,112,36666015
112,36666015,36666015,-3.514688,50.720291,6,6-way Junction,3,0.93,0.85,0.98,0.06,"107, 111, 110","36665491, 36666013, 36665819"
113,36666257,36666257,-3.51288,50.725659,6,6-way Junction,3,0.81,0.24,0.66,0.34,"260, 114, 922","59742245, 36666293, 354956100"
114,36666293,36666293,-3.514509,50.725234,6,6-way Junction,3,0.63,0.96,0.54,0.55,"447, 113, 445","208485314, 36666257, 208480008"
115,36667222,36667222,-3.520391,50.719219,7,Complex,3,0.87,0.2,0.59,0.71,"858, 105, 890","288329984, 36665348, 299456668"
116,36667231,36667231,-3.510149,50.7154,6,6-way Junction,3,0.8,0.95,0.91,0.58,"1206, 344, 411","3073289927, 62162037, 151026182"
117,36667560,36667560,-3.510298,50.719943,6,6-way Junction,3,0.19,0.99,0.62,0.59,"1161, 118, 517","2188916070, 36667561, 213718263"
118,36667561,36667561,-3.509642,50.720068,6,6-way Junction,3,0.89,0.71,0.05,0.54,"1304, 117, 96","8116566242, 36667560, 36664795"
119,36670547,36670547,-3.526203,50.729128,6,6-way Junction,3,0.54,0.98,0.98,0.77,"314, 313, 121","59996735, 59996729, 36670775"
120,36670551,36670551,-3.523462,50.727951,6,6-way Junction,3,0.81,0.57,0.7,0.11,"1311, 34, 364","10068852034, 21761693, 84914575"
121,36670775,36670775,-3.526053,50.729608,6,6-way Junction,3,0.9,0.26,0.65,0,"437, 119, 368","206179643, 36670547, 84917846"
122,36670781,36670781,-3.527508,50.726028,7,Complex,3,0.32,0.44,0.21,0.2,"216, 77, 874","41437537, 34919266, 292262646"
123,36670916,36670916,-3.525682,50.724295,5,5-way Junction,2,0.11,0.59,0.67,0.14,"1013, 1214","748214214, 3297556876"
124,36670922,36670922,-3.526594,50.724037,2,Through,1,0.23,0.07,0.35,0.59,1216,3518325224
125,36671054,36671054,-3.528395,50.720129,3,3-way Junction,2,0.43,0.62,0.66,0.5,"1024, 1015","906791629, 748225005"
126,36671159,36671159,-3.526727,50.722193,4,4-way Junction,2,0.82,0.98,0.15,0.46,"155, 404","40927408, 106201216"
127,36671524,36671524,-3.524195,50.722709,6,6-way Junction,3,0.86,0.19,0.63,0,"59, 924, 396","34918049, 359237348, 106201157"
128,36671688,36671688,-3.52394,50.722772,2,Through,1,0.01,0.79,1,0.63,58,34917773
129,36672058,36672058,-3.527574,50.72117,4,4-way Junction,2,0.51,0.91,0.09,0.24,"1015, 1055","748225005, 1446519480"
130,36672372,36672372,-3.542617,50.730996,6,6-way Junction,3,0.42,0.94,1,0.5,"131, 294, 406","36672373, 59995104, 151021870"
131,36672373,36672373,-3.543183,50.731225,6,6-way Junction,3,0.22,0.96,0.45,0.48,"132, 130, 406","36672374, 36672372, 151021870"
132,36672374,36672374,-3.548386,50.731746,6,6-way Junction,3,0.12,0.52,0.87,0.24,"872, 131, 504","292141178, 36672373, 208634893"
133,36672398,36672398,-3.543036,50.72916,4,4-way Junction,2,0.34,0.98,0.83,0.01,"1063, 134","1483498377, 36672457"
134,36672457,36672457,-3.543126,50.728687,6,6-way Junction,3,0.94,0.76,0.59,0,"1165, 135, 133","2249298800, 36672458, 36672398"
135,36672458,36672458,-3.542883,50.728684,6,6-way Junction,3,0.32,0.16,0.7,0.71,"136, 134, 1155","36672459, 36672457, 2123128746"
136,36672459,36672459,-3.542886,50.728511,2,Through,1,0.52,0.48,0.88,0.75,135,36672458
137,38503704,38503704,-3.51422,50.730134,6,6-way Junction,3,0.7,0.72,0.43,0.5,"259, 867, 861","59742170, 288336432, 288334759"
138,38503719,38503719,-3.520334,50.728645,3,3-way Junction,2,0.36,0.25,0.3,0.02,"219, 877","41440870, 292264827"
139,38503742,38503742,-3.520388,50.72811,6,6-way Junction,3,0.97,0.64,0.68,0.19,"877, 335, 140","292264827, 62154868, 38503756"
140,38503756,38503756,-3.519726,50.728152,6,6-way Junction,3,0.96,0.67,0.82,0.5,"141, 143, 139","38503758, 38503764, 38503742"
141,38503758,38503758,-3.519075,50.727879,6,6-way Junction,3,0.25,0.16,0.73,0.67,"323, 140, 331","62150942, 38503756, 62154036"
142,38503761,38503761,-3.517626,50.727375,6,6-way Junction,3,0.5,0.57,0.8,0,"323, 445, 342","62150942, 208480008, 62158693"
143,38503764,38503764,-3.520169,50.728513,2,Through,1,0.3,0.77,0.46,0,140,38503756
144,40915463,40915463,-3.520046,50.714588,6,6-way Junction,3,0.28,0.5,0.82,0.59,"145, 150, 347","40915468, 40916625, 64669881"
145,40915468,40915468,-3.520697,50.713908,6,6-way Junction,3,0.04,0.01,0.07,0.34,"1068, 146, 144","1582369495, 40915471, 40915463"
146,40915471,40915471,-3.520849,50.713449,2,Through,1,0.61,0.01,0.5,0.11,145,40915468
147,40915883,40915883,-3.521934,50.713594,6,6-way Junction,3,0.5,0.36,0,0,"1068, 400, 401","1582369495, 106201204, 106201208"
148,40915884,40915884,-3.521411,50.713433,2,Through,1,0.05,0.93,0.37,0.5,1068,1582369495
149,40916617,40916617,-3.5228,50.714468,6,6-way Junction,3,0.28,0.23,0.34,0.77,"351, 400, 349","64670186, 106201204, 64670076"
150,40916625,40916625,-3.520838,50.715174,6,6-way Junction,3,0.91,0.63,0.41,0.78,"400, 167, 144","106201204, 41415279, 40915463"
151,40923289,40923289,-3.522105,50.717386,6,6-way Junction,3,0.24,0.22,0.67,0.46,"399, 43, 105","106201196, 28371973, 36665348"
152,40924477,40924477,-3.52044,50.718584,2,Through,1,0.14,0.32,0.37,0.45,399,106201196
153,40924480,40924480,-3.519945,50.718323,2,Through,1,0.49,0.85,0.48,0,399,106201196
154,40926521,40926521,-3.526786,50.723207,6,6-way Junction,3,0.99,0.73,0.26,0.38,"948, 889, 396","445773003, 299022718, 106201157"
155,40927408,40927408,-3.527175,50.722273,4,4-way Junction,2,0.24,0.1,0.33,0.31,"126, 154","36671159, 40926521"
156,41411776,41411776,-3.52489,50.717176,6,6-way Junction,3,0.67,0.43,0.22,0.48,"163, 1224, 158","41413266, 3664622718, 41412305"
157,41411783,41411783,-3.526449,50.718185,7,Complex,4,0.76,0.03,0.03,0.27,"1038, 390, 240, 395","1113937032, 90516236, 54178044, 100185815"
158,41412305,41412305,-3.524237,50.716841,6,6-way Junction,3,0.24,0.48,0.6,0.14,"159, 156, 105","41412456, 41411776, 36665348"
159,41412456,41412456,-3.523957,50.716762,6,6-way Junction,3,0.73,0.66,0.68,0,"158, 161, 43","41412305, 41412642, 28371973"
160,41412491,41412491,-3.525128,50.715395,6,6-way Junction,3,0.37,0.12,0.58,0.2,"1325, 1008, 1143","11037780475, 715865029, 2070436266"
161,41412642,41412642,-3.524165,50.716515,6,6-way Junction,3,0.63,0.29,0.44,0,"162, 1008, 159","41412646, 715865029, 41412456"
162,41412646,41412646,-3.525334,50.715899,2,Through,1,0.63,0.4,0.37,0.04,161,41412642
163,41413266,41413266,-3.524906,50.717194,6,6-way Junction,3,0.54,0.92,0.91,0.82,"156, 1039, 240","41411776, 1113942138, 54178044"
164,41413555,41413555,-3.51862,50.717151,6,6-way Junction,3,0.09,0.99,0.57,0.38,"166, 343, 1023","41414585, 62161309, 906738512"
165,41413562,41413562,-3.515128,50.717345,6,6-way Junction,3,0.84,0.04,0.43,0.36,"169, 1087, 1004","41415917, 1627008331, 702202211"
166,41414585,41414585,-3.517529,50.71659,6,6-way Junction,3,0.32,0.76,0.05,0.82,"169, 164, 1004","41415917, 41413555, 702202211"
167,41415279,41415279,-3.521061,50.715386,6,6-way Junction,3,0.19,0.37,0.33,0.93,"343, 1330, 150","62161309, 12154311401, 40916625"
168,41415776,41415776,-3.520252,50.717492,2,Through,1,0.04,0.39,0.37,0.54,343,62161309
169,41415917,41415917,-3.516097,50.71594,6,6-way Junction,3,0.59,0.75,0.42,0.68,"165, 166, 170","41413562, 41414585, 41416019"
170,41416019,41416019,-3.515553,50.715632,2,Through,1,0.68,0.92,0.62,0.17,169,41415917
171,41418283,41418283,-3.52737,50.717514,5,5-way Junction,2,0.02,0.95,0.58,0.25,"175, 172","41419694, 41418284"
172,41418284,41418284,-3.527602,50.717486,6,6-way Junction,3,0.51,0.58,0.62,0.27,"888, 386, 171","299022231, 90503354, 41418283"
173,41418788,41418788,-3.5262,50.717761,2,Through,1,0.23,0.36,0.75,0.56,175,41419694
174,41419187,41419187,-3.527823,50.716822,6,6-way Junction,3,0.65,0.79,0.84,0.5,"929, 888, 1134","364843954, 299022231, 2061513036"
175,41419694,41419694,-3.526928,50.717412,6,6-way Junction,3,0.17,0.25,0.69,0.22,"171, 173, 888","41418283, 41418788, 299022231"
176,41421980,41421980,-3.526208,50.720317,6,6-way Junction,3,0.69,0.56,0.96,0,"227, 181, 224","41450208, 41422279, 41449742"
177,41422003,41422003,-3.527772,50.718891,6,6-way Junction,3,0.39,0.36,0,0.57,"394, 390, 178","100042399, 90516236, 41422207"
178,41422207,41422207,-3.527364,50.719197,6,6-way Junction,3,0.94,0.66,0.21,0,"181, 179, 177","41422279, 41422209, 41422003"
179,41422209,41422209,-3.526841,50.718947,2,Through,1,0.14,0.24,0,0.56,178,41422207
180,41422275,41422275,-3.527847,50.719507,2,Through,1,0.34,0.19,0.62,0.58,181,41422279
181,41422279,41422279,-3.527274,50.719278,6,6-way Junction,3,0.11,0.92,0.94,0.59,"178, 176, 180","41422207, 41421980, 41422275"
182,41423969,41423969,-3.535118,50.719287,3,3-way Junction,2,0.92,0.1,0.2,0.59,"184, 183","41424009, 41423975"
183,41423975,41423975,-3.535114,50.719562,3,3-way Junction,1,0.88,0.51,0.93,0.65,1050,1446477201
184,41424009,41424009,-3.535413,50.719129,3,3-way Junction,1,0.26,0.22,0.03,0.46,378,90489779
185,41425085,41425085,-3.530609,50.72088,8,Complex,4,0.66,0.04,0.89,0.54,"1030, 186, 252, 919","984678076, 41425285, 59615210, 343134881"
186,41425285,41425285,-3.5304,50.721024,6,6-way Junction,3,0.82,0.04,0.31,0.46,"185, 1146, 187","41425085, 2078858087, 41426332"
187,41426332,41426332,-3.53046,50.721851,6,6-way Junction,3,0.56,0.18,0.07,0.09,"186, 251, 994","41425285, 59615209, 639797286"
188,41427364,41427364,-3.531362,50.720985,3,3-way Junction,1,0.53,0.87,0.52,0,203,41430525
189,41427529,41427529,-3.533699,50.722393,2,Through,1,0.24,0.28,0.24,0.22,88,34920012
190,41427571,41427571,-3.534054,50.722231,4,4-way Junction,2,0.09,0.95,0.33,0.4,"663, 191","261638408, 41427573"
191,41427573,41427573,-3.534311,50.722029,2,Through,1,0.9,0.58,0.32,0.45,190,41427571
192,41427731,41427731,-3.534842,50.722951,6,6-way Junction,3,0.9,0.44,0.8,0.63,"1327, 1326, 193","11081791537, 11081791536, 41427737"
193,41427737,41427737,-3.535241,50.722654,4,4-way Junction,2,0.63,0.58,0.55,0.05,"89, 192","34920014, 41427731"
194,41428033,41428033,-3.532751,50.721345,3,3-way Junction,2,0.34,0.52,0.31,0.04,"188, 195","41427364, 41428814"
195,41428814,41428814,-3.533099,50.721539,3,3-way Junction,2,0.35,0.76,0.64,0.85,"87, 198","34920011, 41429763"
196,41429043,41429043,-3.534734,50.720888,5,5-way Junction,3,0.73,0.28,0.69,0,"198, 372, 206","41429763, 90475710, 41431210"
197,41429047,41429047,-3.53339,50.720258,5,5-way Junction,3,0.9,0.35,0.26,0.32,"201, 203, 1313","41430356, 41430525, 10119115594"
198,41429763,41429763,-3.534195,50.720618,5,5-way Junction,2,0.89,0.89,0.45,0.41,"1019, 197","763617843, 41429047"
199,41429766,41429766,-3.534657,50.719784,3,3-way Junction,1,0.78,0.95,0.17,0.41,1048,1446477156
200,41429889,41429889,-3.535604,50.719906,2,Through,1,0.64,0.89,0.22,0,1093,1641632338
201,41430356,41430356,-3.532957,50.720133,6,6-way Junction,3,0.08,0.42,0.67,0,"1258, 197, 202","4538616693, 41429047, 41430357"
202,41430357,41430357,-3.532658,50.720445,2,Through,1,0.16,0.78,0.21,0.06,201,41430356
203,41430525,41430525,-3.532301,50.721067,3,3-way Junction,1,0.9,0.48,0.52,0.4,194,41428033
204,41430533,41430533,-3.533854,50.719563,5,5-way Junction,2,0.61,0.5,0.71,0.38,"182, 26","41423969, 21761502"
205,41431128,41431128,-3.533197,50.719943,2,Through,1,0.01,0.2,0.08,0.22,1313,10119115594
206,41431210,41431210,-3.535663,50.72014,7,Complex,4,0.1,0.59,0.58,0.57,"1154, 199, 196, 90","2118442826, 41429766, 41429043, 34920915"
